,summary
0,"Microgravity did not induce changes in the shape of biofilms, nor did it affect growth in terms of biomass, thickness, and surface area coverage. However, microgravity increased or decreased biofilm formation in some cases, and this was incubation - time - and material - dependent. nanograss was the material with significantly lessBiofilm formation, both in microgravity and on earth."
1,"Metagenome - assembled genomes ( mags ) of iss samples are yet to be generated. 46 mags were assembled from 21 iss environmental metagenomes. 18 bacterial species were identified, including one novel genus / species combination ( kalamiella piersonii ) and one novel bacterial species ( methylobacterium ajmalii ). Four bins exhibited fungal genomes."
2,The reconstructed genomes will enable researchers to study the evolution of genomes under microgravity and low - dose irradiation. The online version contains supplementary material available at 10.1186 / s40168 - 023 - 01545 - 7. ##miella strains are much more subjective to microgravity changes.
3,"Since the publication of the first metagenome - assembled genome ( mag ) in 2004, mags have been used to confirm genomic data for taxonomic identification of uncultivated microorganisms, metabolic profiling, microbiome dynamics, and host - microbe relationships. mags generated from international space station environmental metagenomes paved a way to describe a novel genus and species, kalamiella piersonii."
4,"“ genome to phenome ” approach enabled the differentiation of closely related genera pantoea from kalamiella and facilitated the isolation of several strains that were archived and previously unidentified. among 46 mags generated during this study, functional analyses such as antimicrobial resistance ( amr ), virulence characteristic, and metabolic traits / stress responses were carried out for 20 prokaryotic mags. This is the first - time eukaryoticMags ( ~ 50 % completeness ) were also generated from iss metagenomes using the co - assembly strategy."
5,"46 mags were assembled from 21 iss environmental metagenomes, in which metaspades yielded 20 mags and metawrap generated 26 mags. 18 bacterial species were identified, including one novel genus / species combination ( kalamiella piersonii ) and one novel bacterial species ( methylobacterium ajmalii ). in addition, four bins exhibited fungal genomes; this is the first - time fungal genome was assembled from iss."
6,"Good quality bacterial and fungal mags were generated from iss environmental samples, and functional properties were predicted. monophyletic phylogeny exhibited by the iss genomes ( both isolates and mags ) suggested that they shared a single common ancestor. variations found in the amr and virulence genes enabled the prediction of the ecology and evolution of microorganisms in space."
7," microbiology research into planning, decision - making, and mission design will be paramount to ensuring success of these long - duration missions. utilizing the benefits of microbes, while understanding their limitations, will help us explore deeper into space and develop sustainable human habitats on the moon, mars and beyond."
8,"Nasa has pledged to return humans to the moon in the next two years and land the first humans on mars by 2033. The journey beyond low earth orbit ( leo ) will expand human civilization, enable future space settlements, provide scientific knowledge of the evolution of our planet and the solar system, and create global partnerships."
9," dust storms can affect the efficiency of solar arrays. resupply cargo, like those that are frequently sent to the iss, is costly, and may not be feasible for long - duration space missions. self - sustainability in food and oxygen production on extraterrestrial outposts, such as on the moon and mars, is crucial. increased pathogenicity and biofilm formation during spaceflight could threaten astronaut health. mitigation strategies will be needed to prevent such hazards."
10," increased pathogenicity and biofilm formation during spaceflight could threaten astronaut health and spacecraft integrity. mitigation strategies will be needed to prevent such hazards. microbial applications related to health ( purple ), renewable resources ( green ) or both ( purple and green ) are highlighted. figure created with biorender. com."
11,"Mechanical unloading during microgravity causes skeletal muscle atrophy and impairs mitochondrial energetics. elevated production of reactive oxygen species ( ros ) by mitochondria and nox2 contribute to atrophy. We tested the hypothesis that the sirt1 activator, srt2104 would rescue unloading - induced mitochondrial dysfunction. mitochondrial function in rat gastrocnemius and soleus muscles were evaluated under three conditions."
12,Wild mouse models are critical tools in tuberculosis ( tb ) research. We examined whether the wild mouse gut microbiota alters the immunopathology of tb in balb / c mice. wildr mice controlled early acute infection better than labc mice. tb reduced the gut community richness in both cohorts while differences in community composition remained.
13,Tuberculosis ( tb) remains a major threat to global public health and years of progress made towards ending tb have been reversed by the covid19 pandemic. predictive preclinical models for testing novel drugs and vaccine candidates are required to achieve the targets set forth in the end tb strategy. introduction of murine pathogens to research poses significant challenges for laboratory animal facilities.
